DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
28/03/2023,0:05,KQ478,Kigali (KGL),Kenya Airways,E90,Departed 12:18 AM,Departed,0:18:00,13
28/03/2023,0:35,QR8776,Liege (LGG),Qatar Cargo,B77L (A7-BFK),Departed 12:38 AM,Departed,0:38:00,3
28/03/2023,0:55,KQ418,Entebbe (EBB),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),Departed 1:29 AM,Departed,1:29:00,34
28/03/2023,1:15,QR1342,Doha (DOH),Qatar Airways,A35K (A7-ANH),Departed 1:20 AM,Departed,1:20:00,5
28/03/2023,1:40,QR8776,Liege (LGG),Qatar Cargo,B77L (A7-BFK),Departed 12:39 AM,Departed,0:39:00,-61
28/03/2023,2:00,TK6694,Istanbul (IST),Turkish Airlines,77F,Unknown,Unknown,,Unknown
28/03/2023,3:20,CV2611,Amsterdam (AMS),Cargolux,B744 (LX-YCV),Departed 5:20 AM,Departed,5:20:00,0
28/03/2023,3:35,TK6427,Istanbul (IST),Turkish Cargo,A332 (TC-JOV),Departed 7:01 AM,Departed,7:01:00,26
28/03/2023,3:45,KQ882,Guangzhou (CAN),Kenya Airways (Come Live The Magic Livery),B788 (5Y-KZD),Departed 5:00 AM,Departed,5:00:00,15
28/03/2023,5:00,ET309,Addis Ababa (ADD),Ethiopian Airlines,B77L (ET-ANP),Departed 5:16 AM,Departed,5:16:00,16
28/03/2023,5:25,MS850,Cairo (CAI),EgyptAir,B738 (SU-GDC),Departed 5:57 AM,Departed,5:57:00,32
28/03/2023,5:25,TK608,Istanbul (IST),Turkish Airlines,B738 (TC-JHP),Departed 6:47 AM,Departed,6:47:00,22
28/03/2023,5:35,WB464,Kigali (KGL),RwandAir,DH4,Unknown,Unknown,,Unknown
28/03/2023,6:00,JM8650,Kisumu (KIS),Jambojet,DH8D (5Y-JXD),Departed 6:15 AM,Departed,6:15:00,15
28/03/2023,6:00,D9301,Mogadishu (MGQ),Daallo Airlines,B734 (5Y-FQB),Departed 7:18 AM,Departed,7:18:00,18
28/03/2023,6:00,5H417,Mombasa (MBA),Fly540,DH8,Unknown,Unknown,,Unknown
28/03/2023,6:10,JM8660,Eldoret (EDL),Jambojet,DH8D (5Y-JXM),Departed 6:19 AM,Departed,6:19:00,9
28/03/2023,6:30,KQ600,Mombasa (MBA),Kenya Airways,E90,Departed 6:36 AM,Departed,6:36:00,6
28/03/2023,6:35,JM8600,Mombasa (MBA),Jambojet,DH8D (5Y-JXH),Departed 6:45 AM,Departed,6:45:00,10
28/03/2023,7:00,KQ2722,Lusaka (LUN),Kenya Airways,73Y,Unknown,Unknown,,Unknown
28/03/2023,7:00,K3911,Juba (JUB),Taquan Air,72F,Unknown,Unknown,,Unknown
28/03/2023,7:00,K3922,Entebbe (EBB),Taquan Air,72F,Unknown,Unknown,,Unknown
28/03/2023,7:00,4F310,Galcaio (GLK),Freedom Airline Express,EM2,Unknown,Unknown,,Unknown
28/03/2023,7:00,4F101,Mogadishu (MGQ),Freedom Airline Express,CRJ,Unknown,Unknown,,Unknown
28/03/2023,7:15,JM8640,Malindi (MYD),Jambojet,DH8D (5Y-JXB),Departed 7:21 AM,Departed,7:21:00,6
28/03/2023,7:20,KQ730,Lilongwe (LLW),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),Departed 7:43 AM,Departed,7:43:00,23
28/03/2023,7:30,KQ782,Livingstone (LVI),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),Departed 7:44 AM,Departed,7:44:00,14
28/03/2023,7:40,KQ482,Dar-es-Salaam (DAR),Kenya Airways,E90,Departed 7:54 AM,Departed,7:54:00,14
